Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
63,Migrated Delivery,Orange,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
64,Migrated Delivery,Orange,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
65,Acquisitions ART Production Support,Green,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
66,Security & Vulnerability Management,Orange,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM,Security + Orange → Enterprise Strategic
67,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
68,SRE Delivery: Chaos Engineering,Black,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
69,Acquisitions ART Production Support,Black,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
70,SRE Delivery: Chaos Engineering,Green,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
71,Acquisitions ART Production Support,Yellow,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
72,Continuous Improvement Feature,Orange,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
73,Migrated Delivery,Orange,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
74,Continuous Improvement Feature,Orange,Production Support,Optimize deployment workflows for improved reliability to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
75,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
76,SRE Delivery: Chaos Engineering,Yellow,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
77,SRE Delivery: Chaos Engineering,Green,Enablers,Stabilize fault injection scenarios for distributed services to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
78,SRE Delivery: Chaos Engineering,Orange,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
79,SRE Delivery: Chaos Engineering,Orange,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
80,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
81,Continuous Improvement Feature,Orange,Maintenance,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Optimization,HIGH,Pre-classified as Technical Maintenance
82,Continuous Improvement Feature,Yellow,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
83,SRE Delivery: Chaos Engineering,Green,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
84,Migrated Delivery,Green,Maintenance,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
85,Acquisitions ART Production Support,Black,Production Support,Address production support gaps impacting acquisition flows to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
86,Acquisitions ART Production Support,Red,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
87,Security & Vulnerability Management,Black,Maintenance,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
88,Acquisitions ART Production Support,Orange,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
89,Acquisitions ART Production Support,Yellow,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
90,Continuous Improvement Feature,Black,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
91,Continuous Improvement Feature,Orange,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
92,SRE Delivery: Chaos Engineering,Green,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
93,Migrated Delivery,Green,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
94,Acquisitions ART Production Support,Red,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
95,Security & Vulnerability Management,Orange,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
96,Migrated Delivery,Black,Business Functionality,Stabilize workloads following platform migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
97,SRE Delivery: Chaos Engineering,Orange,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
98,Migrated Delivery,Green,Business Functionality,Address technical debt introduced during migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,Migrated + Green → Technical Maintenance
99,Continuous Improvement Feature,Red,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
100,Migrated Delivery,Orange,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
101,Security & Vulnerability Management,Orange,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
102,Continuous Improvement Feature,Yellow,Continuous Improvement,Improve observability and logging standards to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
103,Security & Vulnerability Management,Green,Enablers,Update security scanning rules and suppression logic to unblock dependent teams,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
104,SRE Delivery: Chaos Engineering,Black,Production Support,Refine chaos experiment execution and rollback mechanisms to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
105,Migrated Delivery,Green,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
106,SRE Delivery: Chaos Engineering,Orange,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
107,Migrated Delivery,Red,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
108,Continuous Improvement Feature,Green,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
109,SRE Delivery: Chaos Engineering,Orange,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
110,Continuous Improvement Feature,Orange,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
111,Migrated Delivery,Orange,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
112,SRE Delivery: Chaos Engineering,Yellow,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
113,Security & Vulnerability Management,Orange,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
114,Continuous Improvement Feature,Green,Continuous Improvement,Improve observability and logging standards to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
115,SRE Delivery: Chaos Engineering,Black,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
116,Security & Vulnerability Management,Orange,Maintenance,Harden service configurations based on security findings as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
117,Migrated Delivery,Black,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
118,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
119,Acquisitions ART Production Support,Black,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
120,Security & Vulnerability Management,Red,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
121,Migrated Delivery,Green,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
122,Continuous Improvement Feature,Yellow,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
123,SRE Delivery: Chaos Engineering,Green,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
124,Security & Vulnerability Management,Black,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
125,Acquisitions ART Production Support,Black,Business Functionality,Resolve operational issues affecting downstream integrations to enable required business functionality,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
126,Continuous Improvement Feature,Orange,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
127,Security & Vulnerability Management,Green,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
128,SRE Delivery: Chaos Engineering,Green,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
129,SRE Delivery: Chaos Engineering,Orange,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
130,Migrated Delivery,Orange,Business Functionality,Address technical debt introduced during migration to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
131,SRE Delivery: Chaos Engineering,Orange,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
132,SRE Delivery: Chaos Engineering,Orange,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
133,Acquisitions ART Production Support,Black,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
134,Migrated Delivery,Black,Maintenance,Address technical debt introduced during migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
135,SRE Delivery: Chaos Engineering,Black,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
136,Security & Vulnerability Management,Red,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
