Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
44,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
45,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
46,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
47,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
48,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
49,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
50,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,BLACK,Technical Maintenance,Observability,MEDIUM
51,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
52,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
53,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
54,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
55,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
56,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
57,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
58,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
59,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
60,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
61,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
62,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
63,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
64,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
65,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
66,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
67,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
68,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
69,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
70,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
71,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
72,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
73,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
74,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
75,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
76,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
77,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
78,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
79,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
80,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
81,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
82,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
83,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
84,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
85,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
86,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
87,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
88,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
89,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
90,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
91,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
92,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
93,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
94,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
95,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
96,Migrated Delivery,Stabilize workloads following platform migration to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
97,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
98,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
99,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
100,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
101,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
102,Continuous Improvement Feature,Improve observability and logging standards to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
103,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
104,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
105,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
106,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
107,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
108,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
109,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
110,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
111,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
112,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
113,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
114,Continuous Improvement Feature,Improve observability and logging standards to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
115,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
116,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
117,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
118,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
119,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
120,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
121,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
122,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
123,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
124,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
125,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to enable required business functionality,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
126,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
127,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
128,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
129,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
130,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
131,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
132,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
133,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
134,Migrated Delivery,Address technical debt introduced during migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
135,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
136,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
137,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
138,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
139,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
140,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
141,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
142,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
143,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
144,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
145,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
146,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
147,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
148,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
149,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
150,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
151,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
152,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
153,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
154,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
155,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
156,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
157,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
158,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
159,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
160,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
161,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
162,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
163,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
164,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
165,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
166,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
167,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
168,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
169,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
170,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
171,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
172,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
173,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
174,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
175,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
176,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
177,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
178,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
179,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
180,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
181,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
182,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
183,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
184,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
185,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
186,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
187,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
188,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
189,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
190,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
191,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
